branch,product,max_gap_days
0007-ANJANEYA NAGER,RED SEEDLESS GRAPES,inf
0007-ANJANEYA NAGER,REDCHILLY,inf
0007-ANJANEYA NAGER,ROASTED SALTED ALMOND  KGS FLYBERRY,inf
0007-ANJANEYA NAGER,ROUND CHEKKALU 250g VELLANKI FOODS,inf
0007-ANJANEYA NAGER,Raw Forest Honey 1000g BT,52.0
0007-ANJANEYA NAGER,Raw Jamun Honey 1000g BT,51.0
0007-ANJANEYA NAGER,Raw Jamun Honey 500g BT,53.0
0007-ANJANEYA NAGER,Raw Neem Honey 1000g BT,44.0
0007-ANJANEYA NAGER,Raw Neem Honey 500g BT,39.0
0007-ANJANEYA NAGER,Raw Pappaya,42.0
0007-ANJANEYA NAGER,SAFFLOWER OIL 1Lt. COLD PRESSED MESMARA,48.0
0007-ANJANEYA NAGER,SAMBAR PODI 100g VELLANKI FOODS,31.0
0007-ANJANEYA NAGER,SESAME OIL 1Lt COLD PRESSED JIVIKA ORGANICS,62.0
0007-ANJANEYA NAGER,SHRIKAND ELAICHI 100g MILKY MIST,45.0
0007-ANJANEYA NAGER,SHRIKAND MANGO 100g MILKY MIST,54.0
0007-ANJANEYA NAGER,SKYR YOGHURT 100g MILKYMIST,35.0
0007-ANJANEYA NAGER,SMALL AMLA,123.0
0007-ANJANEYA NAGER,SONA MASURI TELANGANA STEAM RICE 26KG GAJANAN,45.0
0007-ANJANEYA NAGER,SPECIALE COFFEE 200g JAR CONTINENTAL,inf
0007-ANJANEYA NAGER,SPICE ALMOND DRAGEE KG LOOSE FLYBERRY,inf
0007-ANJANEYA NAGER,SPICED TARO CHIPS 30g FLYBERRY GOURMET,inf
0007-ANJANEYA NAGER,SPRITE PET  250ML,45.0
0007-ANJANEYA NAGER,SRI DIVYA DEEPARDHANA OIL 910 ML,inf
0007-ANJANEYA NAGER,SRI LALITHA HMT RICE 26KG,inf
0007-ANJANEYA NAGER,STAR FRUIT,59.0
0007-ANJANEYA NAGER,STAR PAPAD 200G EVR,32.0
0007-ANJANEYA NAGER,STRAWBERRY LOCAL ANAND BOX,inf
0007-ANJANEYA NAGER,SUGAR CANE PACK,56.0
0007-ANJANEYA NAGER,SUN MELON YELLOW,inf
0007-ANJANEYA NAGER,SUNFLOWER OIL 1LT COLD PRESSED MESMARA,39.0
0007-ANJANEYA NAGER,SUNFLOWER OIL 1Lt COLD PRESSED JIVIKA ORGANICS,32.0
0007-ANJANEYA NAGER,SUNFLOWER OIL COLDPRESSED 5L MESMARA,inf
0007-ANJANEYA NAGER,SWEET ALMOND OIL100ML MESMARA,43.0
0007-ANJANEYA NAGER,Snake Gourd Small,66.0
0007-ANJANEYA NAGER,TABLE BUTTER 500G HERITAGE,57.0
0007-ANJANEYA NAGER,TABLE BUTTER SALTED 100g MILKY MIST,50.0
0007-ANJANEYA NAGER,TABLE BUTTER SALTED 200G MILKY MIST,39.0
0007-ANJANEYA NAGER,TAMARIND PICKLE 250g AHA,67.0
0007-ANJANEYA NAGER,TAMARIND PICKLE 500g AHA,inf
0007-ANJANEYA NAGER,TAMARIND PICKLE250G VELLANKI FOODS,31.0
0007-ANJANEYA NAGER,THADKA MIX POPU DINUSULU 200G,inf
0007-ANJANEYA NAGER,THIS CREAMY CARAMEL 18G CONTINENTAL,98.0
0007-ANJANEYA NAGER,THIS CREAMY COFFEE MOCHA 22g CONTINENETAL,44.0
0007-ANJANEYA NAGER,THIS IS CAPPUCCINO 22g CONTINENTAL,inf
0007-ANJANEYA NAGER,THREE MANGO MIRCHI PWD 200G,inf
0007-ANJANEYA NAGER,THUMMIKURA,inf
0007-ANJANEYA NAGER,THUMS UP 1.25L,inf
0007-ANJANEYA NAGER,THUMS UP 250ML,51.0
0007-ANJANEYA NAGER,TOMATO PICKLE  250g AHA,73.0
0007-ANJANEYA NAGER,TRIANGLE PAPAD 200G EVR,34.0
0007-ANJANEYA NAGER,TURNIPS KG ENGLISH ITEM SAMBERRY,inf
0007-ANJANEYA NAGER,UHT BUTTER MILK 180ML MILKY MIST,91.0
0007-ANJANEYA NAGER,URAD BLACK SPLIT 500g,46.0
0007-ANJANEYA NAGER,VAAKKAI,55.0
0007-ANJANEYA NAGER,VARI NUKA AISHWARYA 500G,inf
0007-ANJANEYA NAGER,VELLANKI KAKARAKAYA CHIPS 150G,41.0
0007-ANJANEYA NAGER,VIRGIN COCONUT OIL 200ml AKSHAYA KALPA,31.0
0007-ANJANEYA NAGER,WATER APPLE BOX,116.0
0007-ANJANEYA NAGER,WATER MELON PLATE,inf
0007-ANJANEYA NAGER,WHEAT GRASS,inf
0007-ANJANEYA NAGER,WHITE RAJMA 500g,32.0
0007-ANJANEYA NAGER,WHITE SEEDLESS GRAPES,70.0
0007-ANJANEYA NAGER,XTRA 50gm POUCH  CONTINENTAL,88.0
0007-ANJANEYA NAGER,YELLOW BANTHI POOLU KGS LOOSE,92.0
0007-ANJANEYA NAGER,YELLOW CAULIFLOWER PC,inf
0007-ANJANEYA NAGER,YELLOW JOWAR SORGHUM RAWA 500G SRI AHARYA,36.0
0007-ANJANEYA NAGER,chintakayalu,125.0
0007-ANJANEYA NAGER,gangavyalukura,49.0
0007-ANJANEYA NAGER,koyakura,101.0
0007-ANJANEYA NAGER,mulagaku,inf
0007-ANJANEYA NAGER,red thotakura,52.0
0007-ANJANEYA NAGER,simla mirchi bajji,71.0
